pos[0] = 22.824442	pos[1] = 106.974133	pos[2] = 25.525805
angle[0] = -0.142686	angle[1] = 0.751992	angle[2] = 0.493058

pos[0] = 29.750164	pos[1] = 112.303693	pos[2] = 32.361258
angle[0] = -0.177638	angle[1] = 0.756889	angle[2] = 0.565183

pos[0] = 29.910858	pos[1] = 112.391084	pos[2] = 32.472154
angle[0] = -0.178460	angle[1] = 0.756889	angle[2] = 0.566406

pos[0] = 29.996859	pos[1] = 112.518185	pos[2] = 32.558387
angle[0] = -0.178871	angle[1] = 0.757297	angle[2] = 0.567628

pos[0] = 30.157846	pos[1] = 112.605918	pos[2] = 32.668839
angle[0] = -0.179694	angle[1] = 0.757297	angle[2] = 0.568851

pos[0] = 30.320520	pos[1] = 112.762674	pos[2] = 32.787260
angle[0] = -0.180516	angle[1] = 0.757705	angle[2] = 0.570481

pos[0] = 30.413511	pos[1] = 112.850789	pos[2] = 32.909685
angle[0] = -0.180927	angle[1] = 0.757705	angle[2] = 0.571703

pos[0] = 30.568241	pos[1] = 112.978597	pos[2] = 32.982616
angle[0] = -0.181750	angle[1] = 0.758113	angle[2] = 0.572926

pos[0] = 30.729881	pos[1] = 113.067045	pos[2] = 33.092077
angle[0] = -0.182572	angle[1] = 0.758113	angle[2] = 0.574148

pos[0] = 30.884882	pos[1] = 113.195172	pos[2] = 33.164478
angle[0] = -0.183395	angle[1] = 0.758521	angle[2] = 0.575370

pos[0] = 30.986662	pos[1] = 113.313593	pos[2] = 33.330960
angle[0] = -0.183806	angle[1] = 0.758521	angle[2] = 0.577000

pos[0] = 31.141930	pos[1] = 113.442085	pos[2] = 33.402872
angle[0] = -0.184628	angle[1] = 0.758929	angle[2] = 0.578223

pos[0] = 31.304220	pos[1] = 113.531265	pos[2] = 33.511323
angle[0] = -0.185451	angle[1] = 0.758929	angle[2] = 0.579445

pos[0] = 31.459753	pos[1] = 113.660082	pos[2] = 33.582719
angle[0] = -0.186273	angle[1] = 0.759337	angle[2] = 0.580668

pos[0] = 31.615396	pos[1] = 113.789043	pos[2] = 33.653837
angle[0] = -0.187095	angle[1] = 0.759745	angle[2] = 0.581890

pos[0] = 31.709442	pos[1] = 113.878724	pos[2] = 33.774575
angle[0] = -0.187507	angle[1] = 0.759745	angle[2] = 0.583113

pos[0] = 31.865322	pos[1] = 114.008002	pos[2] = 33.845225
angle[0] = -0.188329	angle[1] = 0.760153	angle[2] = 0.584335

pos[0] = 32.028366	pos[1] = 114.098017	pos[2] = 33.952448
angle[0] = -0.189151	angle[1] = 0.760153	angle[2] = 0.585558

pos[0] = 32.184509	pos[1] = 114.227613	pos[2] = 34.022595
angle[0] = -0.189974	angle[1] = 0.760561	angle[2] = 0.586780

pos[0] = 32.340763	pos[1] = 114.357369	pos[2] = 34.092464
angle[0] = -0.190796	angle[1] = 0.760969	angle[2] = 0.588003

pos[0] = 32.504276	pos[1] = 114.447876	pos[2] = 34.198903
angle[0] = -0.191619	angle[1] = 0.760969	angle[2] = 0.589225

pos[0] = 32.660789	pos[1] = 114.577942	pos[2] = 34.268253
angle[0] = -0.192441	angle[1] = 0.761377	angle[2] = 0.590447

pos[0] = 32.808750	pos[1] = 114.677867	pos[2] = 34.293059
angle[0] = -0.193263	angle[1] = 0.761785	angle[2] = 0.591262

pos[0] = 32.965454	pos[1] = 114.808172	pos[2] = 34.361903
angle[0] = -0.194086	angle[1] = 0.762193	angle[2] = 0.592485

pos[0] = 33.129551	pos[1] = 114.899291	pos[2] = 34.467354
angle[0] = -0.194908	angle[1] = 0.762193	angle[2] = 0.593707

pos[0] = 33.286510	pos[1] = 115.029921	pos[2] = 34.535678
angle[0] = -0.195730	angle[1] = 0.762601	angle[2] = 0.594930

pos[0] = 33.512638	pos[1] = 115.160702	pos[2] = 34.589957
angle[0] = -0.196964	angle[1] = 0.763009	angle[2] = 0.596152

pos[0] = 33.668411	pos[1] = 115.221753	pos[2] = 34.650507
angle[0] = -0.197786	angle[1] = 0.763009	angle[2] = 0.596967

pos[0] = 33.825729	pos[1] = 115.352788	pos[2] = 34.717989
angle[0] = -0.198609	angle[1] = 0.763417	angle[2] = 0.598190

pos[0] = 33.990612	pos[1] = 115.444670	pos[2] = 34.822104
angle[0] = -0.199431	angle[1] = 0.763417	angle[2] = 0.599412

pos[0] = 34.139263	pos[1] = 115.545319	pos[2] = 34.845131
angle[0] = -0.200254	angle[1] = 0.763825	angle[2] = 0.600227

pos[0] = 34.304432	pos[1] = 115.637471	pos[2] = 34.948749
angle[0] = -0.201076	angle[1] = 0.763825	angle[2] = 0.601450

pos[0] = 34.453243	pos[1] = 115.738287	pos[2] = 34.971366
angle[0] = -0.201898	angle[1] = 0.764233	angle[2] = 0.602265

pos[0] = 34.618694	pos[1] = 115.830718	pos[2] = 35.074503
angle[0] = -0.202721	angle[1] = 0.764233	angle[2] = 0.603487

